datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1989-10-10 21:00:00,centralia,wa,us,triangle,60,1 minute,A huge triangularly shaped silent object that blotted out 25 degrees of the sky&#44 lighted by four glowing points.,2004-04-27,46.7163889,-122.9530556
1989-10-10 21:00:00,kranklin,ky,,triangle,180,3min,Triangle seen in franklin Ky - october 1989,2005-05-11,36.722263,-86.577218
1990-10-10 21:00:00,ashburn,ga,us,triangle,120,2 minutes,Translucent Craft that makes No Sound While Moving,2007-10-08,31.7058333,-83.6533333
1991-10-10 22:00:00,frisco,nc,us,unknown,1800,30 minutes,A friend and myself were standing on the shore of the Pamlico sound as we observed 4 objects moving in up and down motions for about 30,1999-01-28,35.235,-75.6288889
1991-10-10 22:00:00,harrisburg,pa,us,triangle,600,10 minutes,We observed 3 triangular shaped high speed objects&#33,2003-05-09,40.2736111,-76.8847222
1992-10-10 17:00:00,panama city,fl,us,formation,3600,1 hour(?),During a road trip to Panama City a friend and I witnessed a pair of luminous light formations appear and dissappear over the Gulf.,1999-01-28,30.1586111,-85.6602778
1992-10-10 18:00:00,stafford,tx,us,unknown,10,10 seconds,A man emerges from a beam of light that shines on a grassy field at night and he runs towards the Texas Instruments parking lot.,2012-04-18,29.6158333,-95.5575
1992-10-10 20:15:00,seymour,tn,us,cigar,60,1min. 39s,Stationary Elongated UFO 200ft above vacant field with city lights on bottom,2008-10-31,35.8905556,-83.7247222
1992-10-10 22:00:00,weatherford,tx,us,unknown,30,30 seconds,Black or dark grey.  Too big&#44 too low&#44 too slow&#44 too quiet&#44 for a normal aircraft.,2005-09-02,32.7591667,-97.7969444
1993-10-10 03:00:00,zlatoust (russia),,,sphere,1200,20 minutes,I woke up at night and looked out the window near my bed. There was a huge sphere of shining light in front of our nine floor apartment,2004-12-14,55.183333,59.65
1993-10-10 22:00:00,peoria,il,us,light,8,8 seconds,Light over Peoria&#44 IL that moves slowly&#44 stops in mid-air&#44 hovers&#44 changes colors&#44 shoots in opposite direction and disappears.,2005-10-11,40.6936111,-89.5888889
1993-10-10 23:00:00,carthage,tn,us,other,60,less than 1 min,1 object with green and red lights,2003-03-21,36.2522222,-85.9516667
1994-10-10 15:00:00,mercedies,tx,,cigar,3600,1 hour,ufo chased by fighter jet over Rio Grande Valley. Seen on news,2011-12-12,26.149798,-97.913611
1994-10-10 18:30:00,burnt hills,ny,us,rectangle,120,2 minutes,Giant rectangular craft (resembling an upside-down aircraft carrier) over highway near Saratoga&#44 NY.,2013-10-23,42.9097222,-73.8955556
1994-10-10 22:00:00,pinebergen,ar,us,light,5,5 seconds,Round&#44 bright&#44 low flying object silently speeds West of Arkansas town at 11:30pm&#44 10/10/94.,2001-02-18,34.1027778,-91.9922222
1994-10-10 23:00:00,toronto (greater toronto area) (canada),on,ca,sphere,3600,~1 hour,Large rusty sphere,2013-07-03,43.666667,-79.416667
1995-10-10 19:45:00,milwaukee,wi,us,,120,2 min.,Man  on Hwy 43 SW of Milwaukee sees large&#44 bright blue light streak by his car&#44 descend&#44 turn&#44 cross road ahead&#44 strobe. Bizarre&#33,1999-11-02,43.0388889,-87.9063889
1995-10-10 22:40:00,oakland,ca,us,,60,1 minute,Woman repts.  bright light in NW sky&#44 suddenly approaches her&#44 flies slowly overhead.  Swept wings&#44 2 blurry lights either side.,1999-11-02,37.8044444,-122.2697222
1996-10-10 03:20:00,higginsville,mo,us,triangle,3,3sec,illuminated triangular craft&#44 flying at high speed from South to North,2000-02-16,39.0725,-93.7169444
1996-10-10 20:00:00,lake macquarie (nsw&#44 australia),,,light,300,5 min,RED LIGHT WITH OTHER RED FLASHING LIGHT&#44 ONE OBJECT,1999-05-24,-33.093373,151.588982
1996-10-10 22:00:00,charleston,sc,us,light,300,5 min,Flashing object above Charleston&#44 SC,2003-11-26,32.7763889,-79.9311111
1996-10-10 22:30:00,monroe county,oh,us,cylinder,60,1 minute,Looked like it went through the hillside,2004-07-08,39.4402778,-84.3622222
1997-10-10 16:00:00,connersville,in,us,delta,14400,4 hours,3 differants types &#44 cluster &#44delta &#44 and one in a 3 pointed star design . followed it for six miles .,1999-01-28,39.6411111,-85.1411111
1997-10-10 17:00:00,mesa,az,us,sphere,30,30 seconds,A small dark purple quad-thruster craft hovering 200-300 feet in the sky. 500 Lights On Object0: Yes,2008-02-14,33.4222222,-111.8219444
1997-10-10 20:00:00,bonaire,ga,us,triangle,300,<5 minutes,Triangular Object Sighted at Very Close Range,2007-02-01,32.5436111,-83.5961111
1997-10-10 21:00:00,austin,mn,us,other,3600,1-hour,i was traveling northbound on state highway 105 approximately 8 miles south of Austin MN when an object came down directly above my car,1999-01-28,43.6666667,-92.9744444
1998-10-10 02:30:00,hollywood,ca,us,changing,300,5 minutes,I was standing outside on Sunset Blvd. at Vine and looked straight up which I normally do not do. I saw three bright white lights in a,1998-11-01,34.0983333,-118.3258333
1998-10-10 03:30:00,phoenix (north part),az,us,fireball,15,10 to 15 sec,bright green moving north to north east. it was bright green and kinda clear. quite fast too.,1999-02-16,33.4483333,-112.0733333
1998-10-10 13:15:00,elgin,il,us,cylinder,1800,30 +/- min,While looking up at sky I noticed a bright light hovering above the sky. then I noticed a jet airliner traveling in the same area and I,1998-11-01,42.0372222,-88.2811111
1998-10-10 17:30:00,las vegas,nv,us,cigar,600,10 minutes,White&#44 vertical cigar shape floating around in the eastern sky.,1998-11-01,36.175,-115.1363889
1998-10-10 17:30:00,las vegas,nv,us,circle,2700,45min.,Ufo sighting in las vegas near Area51,1999-08-30,36.175,-115.1363889
1998-10-10 20:30:00,nyc/westchester area,ny,,triangle,60,< 1 min,Lights over NYC,2006-10-30,40.935998,-73.901708
1998-10-10 20:30:00,spokane (about 30 miles sw of&#44i-90&#44 maybe mm 254),wa,us,triangle,600,10 minutes,Dark boomerange object seen for ten minutes hovering over the freeway with a bright light out the front that lit up the fields. No jet,2001-08-05,47.6588889,-117.425
1998-10-10 20:50:00,mooresville,nc,us,light,2,2 seconds,Star gazing in back yard with telescope and binos. Saw shooting star and an oblong shape of light.,1998-11-01,35.5847222,-80.8102778
1998-10-10 22:30:00,st. john&#39s (canada),nf,ca,egg,7200,2 hours,Started off as 3 points of intense yellow light in triangle formation - then grew larger - it becage a single egg shape - VERY bright.,2000-12-02,47.55,-52.666667
1998-10-10 23:50:00,delano,tn,us,fireball,15,15 seconds,I came home from work one night and I seen a bright fire like ball go across the top ofthe mountain and it was going fast then it stopp,2003-03-21,35.265,-84.5533333
1999-10-10 00:01:00,martinez,ca,us,changing,3600,1 hour,Bright objects&#44 red and green flashing lights (and a diffuse white light off to one side of the larger of the two objects)&#44 about 30 de,1999-10-19,38.0194444,-122.1330556
1999-10-10 04:00:00,kansas city,ks,us,unknown,600,5-10 min.,Orange object over city.,1999-10-19,39.1141667,-94.6272222
1999-10-10 06:00:00,dallas,tx,us,other,10,10 seconds,group of   twinkling lights at high altitude,2001-11-20,32.7833333,-96.8
1999-10-10 11:00:00,san diego,ca,us,fireball,3600,1 hour,At 10:45 in the morning&#44 my father and I noticed a small stationary object in the sky.,1999-10-19,32.7152778,-117.1563889
1999-10-10 12:40:00,kennewick,wa,us,sphere,45,45 secs,Standing outside saying goodby to family members and pointing to Chem-Trails,1999-10-19,46.2113889,-119.1361111
1999-10-10 20:35:00,hayward,ca,us,circle,90,60-90 sec,Many different colored glowing  objects,2001-11-20,37.6688889,-122.0797222
1999-10-10 21:00:00,rachel,nv,us,light,10800,3 hours,Bright lights with incredible agility seen from mailbox at Area 51 on UFO highway in Nevada for several hourse.,2005-05-24,37.6447222,-115.7427778
1999-10-10 21:30:00,humphrey,ne,us,sphere,300,5 min,Object moving erratically in sky stopped by spot light,2006-02-14,41.6916667,-97.4841667
1999-10-10 22:30:00,casey key (north end of),fl,,triangle,120,several minutes,A large trianglual shaped craft flew from horizon to horizon as observed from the stern deck of a motor vessel,2002-09-19,27.150053,-82.480653
1999-10-10 22:30:00,elgin,or,us,chevron,240,4 minutes,Object silently traveled north -northwest. It was V shaped with five orange lights on the perimeter and one white ligh in the center of,1999-10-19,45.565,-117.9163889
1999-10-10 23:45:00,lewiston,mi,us,oval,2700,45 minutes,Oval shaped with lights all around it in a haze with several smaller lights flying all around it.,1999-10-19,44.8838889,-84.3055556
2000-10-10 03:00:00,perryville,mo,us,oval,180,3 minutes,The craft was big&#44 orange&#44 and oval shaped.,2000-12-02,37.7241667,-89.8611111
2000-10-10 06:15:00,boynton beach,fl,us,other,10,10 seconds,Unusual light formation moving extremely fast across the sky.,2000-12-02,26.525,-80.0666667
2000-10-10 07:30:00,victoria (canada),bc,ca,cylinder,30,30seconds,Smooth Shiny Cylinder,2000-12-02,46.216667,-63.483333
2000-10-10 16:00:00,jueanu,wi,,triangle,45,45 seconds,5 bight light V shaped,2000-12-02,43.40555,-88.705104
2000-10-10 20:20:00,valley park area of st. louis,mo,,oval,15,15 seconds,Driving on Hyw.141 at Hyw. 44 and going East&#44 I witnessed to my right a glowing orb of light streak horizontally from East to West at a,2000-12-02,38.627003,-90.199404
2000-10-10 20:30:00,brinktown,mo,us,light,1800,30 min.,3 bright golden lights moving independently above the tree line flaring and fading intermittently for approx. 15 min.,2000-12-02,38.1266667,-92.0844444
2000-10-10 21:30:00,florence,ky,us,light,5,4-5 seconds,Two objects traveling side by side pass over&#44 as one begins to zig&#44 zag it&#39s path.,2000-12-02,38.9988889,-84.6266667
2000-10-10 21:30:00,seattle (west),wa,us,unknown,10,10 sec,Dark object in the shape of a (4) after dusk in West Seattle,2003-02-11,47.6063889,-122.3308333
2000-10-10 22:00:00,port orchard,wa,us,diamond,60,1min,One night my window started to flash,2009-05-12,47.5405556,-122.635
2001-10-10 03:00:00,rockwell city,ia,us,triangle,240,4 min.s,Large&#44silent&#44slow&#44low to the ground dull-black Triangle UFO with round red lights at it&#39s corners that were off .I drew it.,2002-07-01,42.3952778,-94.6336111
2001-10-10 04:33:00,sydney (nsw&#44 australia),,au,formation,180,3 minutes,formation and impact,2001-11-20,-33.861481,151.205475
2001-10-10 20:10:00,vancouver (canada),bc,ca,other,300,+5 minutes,I observed an green object significantly above a house with the address ((deleted)) Dunbar Street.,2011-05-12,49.25,-123.133333
2001-10-10 20:35:00,hayward,ca,us,circle,120,2/min.,FALLING STAR  STOPS  &#39SHOTS OUT  DOZENS OF RED POINTS OF LIGHT,2001-11-20,37.6688889,-122.0797222
2001-10-10 21:15:00,ottumwa,ia,us,rectangle,300,3-5 minutes,We saw a square object at night&#44  which had 2 blue &amp, 2 red lights at corners&#44 hovering in sky above us.,2001-11-20,41.0041667
